subtype	gisaid_epi_isl	gisaid_strain	originating_lab	submitting_lab
h1n1pdm	EPI_ISL_20131643	A/Pennsylvania/507/2025	Pennsylvania Department of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20131596	A/Belgium/0057/2025	Sciensano, Viral Diseases Laboratory, National Influenza Center in Belgium	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20131464	A/Senegal/IPD-1958/2025	Institut Pasteur de Dakar	Institut Pasteur de Dakar
h1n1pdm	EPI_ISL_20131337	A/Senegal/IPD-1915/2025	Institut Pasteur de Dakar	Institut Pasteur de Dakar
h1n1pdm	EPI_ISL_20131058	A/Cambodia/ IAHC250254/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20131040	A/Catalonia/NSVH170154875/2025	Hospital Universitari Vall d'Hebron	Hospital Universitari Vall d'Hebron
h1n1pdm	EPI_ISL_20131032	A/Catalonia/NSGT198331330/2025	Hospital Universitari Germans Trias i Pujol	Hospital Universitari Vall d'Hebron
h1n1pdm	EPI_ISL_20131030	A/Cambodia/ IAHC250249/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20131023	A/South Australia/2519713406/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20115144	A/Hong Kong/1112/2025	Government Virus Unit	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20141994	A/Hong Kong/GIHSN-HKU-250827-005/2025	The University of Hong Kong	The University of Hong Kong
h1n1pdm	EPI_ISL_20141990	A/Hong Kong/GIHSN-HKU-250827-001/2025	The University of Hong Kong	The University of Hong Kong
h1n1pdm	EPI_ISL_20141845	A/Saint-Petersburg/RII-327/2025	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_20141820	A/Saint-Petersburg/RII-MH248590S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_20141819	A/Saint-Petersburg/RII-MH248586S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_20141627	A/Guatemala/P000034/2025	Fundación para la Salud Integral de los Guatemaltecos (FUNSALUD)	Fundación para la Salud Integral de los Guatemaltecos
h1n1pdm	EPI_ISL_20141198	A/Argentina/1584/2025	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20141171	A/Cote D'Ivoire/1812/2025	Pasteur Institut of Côte d'Ivoire	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20141112	A/Burkina Faso/2957/2025	IRSS	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20141070	A/Uruguay/663/2025	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20141062	A/Argentina/1651/2025	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20133607	A/Netherlands/01754/2025	Erasmus Medical Center	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20133515	A/Uruguay/1234/2025	National Influenza Center, Ministry of Health	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20133513	A/Uruguay/1181/2025	National Influenza Center, Ministry of Health	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20133512	A/Uruguay/1165/2025	National Influenza Center, Ministry of Health	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20133509	A/Uruguay/1004/2025	National Influenza Center, Ministry of Health	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20125573	A/Indonesia/BIOKES-SMHM172/2025	Balai Besar Laboratorium Biologi Kesehatan	Balai Besar Laboratorium Biologi Kesehatan
h1n1pdm	EPI_ISL_20125558	A/Indonesia/BIOKES-IMLG941/2025	Balai Besar Laboratorium Biologi Kesehatan	Balai Besar Laboratorium Biologi Kesehatan
h1n1pdm	EPI_ISL_20125498	A/Paraguay/910274/2025	Central Laboratory of Public Health	Laboratorio Central de Salud Publica
h1n1pdm	EPI_ISL_20125452	A/India/PUD-NIV25-1171/2025	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_20125451	A/India/PUD-NIV25-1170/2025	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_20125450	A/India/PUD-NIV25-1169/2025	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_20125447	A/India/JAI-NIV25-1116/2025	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_20124423	A/Hong Kong/RFL-212/2025	The Chinese University of Hong Kong	Chinese University of Hong Kong
h1n1pdm	EPI_ISL_20135288	A/Cote d'Ivoire/2054/2025	Pasteur Institut of Côte d'Ivoire	Institut Pasteur de Côte d'Ivoire
h1n1pdm	EPI_ISL_20127617	A/Norway/08127/2025	Norwegian Institute of Public Health	Norwegian Institute of Public Health
h1n1pdm	EPI_ISL_20127608	A/Norway/08073/2025	Norwegian Institute of Public Health	Norwegian Institute of Public Health
h1n1pdm	EPI_ISL_20126981	A/Sanarate/FLU-288/2025	Laboratorio Nacional de Salud, Guatemala	Laboratorio Nacional de Salud, Guatemala
h1n1pdm	EPI_ISL_20126958	A/Zacapa/FLU-265/2025	Laboratorio Nacional de Salud, Guatemala	Laboratorio Nacional de Salud, Guatemala
h1n1pdm	EPI_ISL_20126931	A/Guatemala/FLU-233/2025	Laboratorio Nacional de Salud, Guatemala	Laboratorio Nacional de Salud, Guatemala
h1n1pdm	EPI_ISL_20127369	A/Cambodia/ INPH250216/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20097469	A/Hong Kong/GIHSN-HKU-250801-004/2025	The University of Hong Kong	The University of Hong Kong
h1n1pdm	EPI_ISL_20097466	A/Hong Kong/GIHSN-HKU-250801-001/2025	The University of Hong Kong	The University of Hong Kong
h1n1pdm	EPI_ISL_20099476	A/Shanghai-Xuhui/SWL1598/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20099466	A/Heilongjiang-Yimei/SWL1558/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20098087	A/ABUDHABI/UAE/0013621/2025	Reference Laboratory for Infectious Disease (Surveillance Lab)	Purehealth Group Company
h1n1pdm	EPI_ISL_20097265	A/AKITA/13/2025	Akita Research Center for Public Health and Environment	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20097259	A/YOKOHAMA/50/2025	Yokohama City Institute of Public Health.	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20099756	A/Singapore/GP0398/2025	Ministry of Health, Singapore	Ministry of Health, Singapore
h1n1pdm	EPI_ISL_20099755	A/Singapore/GP0378/2025	Ministry of Health, Singapore	Ministry of Health, Singapore
h1n1pdm	EPI_ISL_20099699	A/Hubei-Qiaokou/SWL1398/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20099666	A/Shanxi-Shuocheng/SWL842/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20099584	A/Qinghai-Haiyan/SWL1279/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_20102994	A/SAO PAULO/CEVI_2500195/2025	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_20102960	A/SAO PAULO/CEVI_2500719/2025	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_20101172	A/Galicia/GA-CHUAC-439/2025	A Coruna University Hospital Complex (CHUAC)	Hospital Universitario de A Coruña
h1n1pdm	EPI_ISL_20110972	A/Acre/029940-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_20110904	A/Para/027973-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_20103070	A/SAO PAULO/CEVI_2500243/2025	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_20103119	A/Colorado/98/2025	Colorado Department of Health Lab	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20103103	A/Massachusetts/91/2025	Massachusetts Department of Public Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20088834	A/SALAMANCA/135/2025	Valladolid National Influenza Centre	Valladolid National Influenza Centre
h1n1pdm	EPI_ISL_20091207	A/South Australia/87/2025	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20090050	A/Madagascar/00987/2025	Institut Pasteur de Madagascar	Institut Pasteur de Madagascar
h1n1pdm	EPI_ISL_20090850	A/Saint-Petersburg/RII-MH244902S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_20091408	A/South Australia/2505710186/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20091434	A/South Australia/2518415107/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20090950	A/Victoria/2508014811/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20090991	A/South Australia/2508305862/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20091509	A/South Australia/2518908693/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20090882	A/Sochi/RII-MH247133S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_20090881	A/Saint-Petersburg/RII-MH247029S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_20091125	A/Singapore/NUH0584/2025	Ministry of Health, Singapore	Ministry of Health, Singapore
h1n1pdm	EPI_ISL_20092445	A/Philippines/ILI25-0566/2025	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20078964	A/South Korea/16142/2025	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
h1n1pdm	EPI_ISL_20079477	A/South Australia/2516100843/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20080411	A/Niger/VR1099_HNABD/2025	Centre de Recherche Medicale et Sanitaire (CERMES)	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20079449	A/South Australia/2517302418/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_20080790	A/Alaska/47/2025	Alaska State Virology Lab	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20080813	A/El Salvador/987/2025	Contiguo a Hospital Rosales	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20080800	A/Iowa/91/2025	Iowa State Hygienic Laboratory	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_20070534	A/Victoria/496/2025	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20070562	A/Victoria/905/2025	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20070620	A/Victoria/693/2025	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20071400	A/Victoria/460/2025	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20070456	A/Darwin/874/2025	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_20070748	A/Belgium/S6141/2025	Sciensano, Viral Diseases Laboratory, National Influenza Center in Belgium	Sciensano
h1n1pdm	EPI_ISL_20072840	A/ENG/83/2025	UK Health Security Agency - Colindale	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_20072197	A/Ireland/00009561/2025	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory
h1n1pdm	EPI_ISL_20074379	A/Kenya/MSA09788/Human/2025	National Influenza Center - Kenya	National Public Health Laboratory
h1n1pdm	EPI_ISL_20075621	A/South Africa/PATH-CERI-C068653/2025	PathCare	Center for Epidemic Response and Innovation (CERI)
h1n1pdm	EPI_ISL_20075868	A/India/BEN_NIV25-124/2025	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_20075865	A/India/ DEL_NIV25-255/2024	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_20074658	A/Denmark/2853/2025	Statens Serum Institut	Statens Serum Institute
h1n1pdm	EPI_ISL_20074671	A/Denmark/2997/2025	Statens Serum Institut	Statens Serum Institute
h1n1pdm	EPI_ISL_20074706	A/Denmark/2995/2025	Statens Serum Institut	Statens Serum Institute
h1n1pdm	EPI_ISL_20066037	A/SAPPORO/9/2025	Sapporo City Institute of Public Health	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20066036	A/SAPPORO/7/2025	Sapporo City Institute of Public Health	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20066624	A/Ghana/ARI-25-0794/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_20066613	A/Ghana/FS-25-3995/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_20066609	A/Ghana/FS-25-4397/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_20066407	A/Ghana/FS-25-3256/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_20054862	A/SHIMANE/61/2025	Shimane Prefectural Institute of Public Health and Environmental Science	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20054851	A/NAGANO/2129/2025	Nagano Environmental Conservasion Research Institute	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_20054714	A/Queensland/IN001580/2025	Pathology Queensland	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_20054707	A/Queensland/IN001573/2025	Pathology Queensland	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_20054613	A/Burkina Faso/HOSCO 329/2024	Laboratoire National de Référence Grippes(LNR-G)/Institut de Recherche en Sciences de la Santé	Institut de Recherche en Sciences de la Santé (IRSS/CNRST)
h1n1pdm	EPI_ISL_20054445	A/Bangkok/P1525/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_20054191	A/Distrito Federal/2524590901/2025	Laboratório Central de Saúde Pública do Distrito Federal	Laboratório Central de Saúde Pública do Distrito Federal
h1n1pdm	EPI_ISL_20055713	A/Ghana/FS-25-2663/Ghana	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_20058521	A/Netherlands/10886/2025	National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)
h1n1pdm	EPI_ISL_20059548	A/Roraima/019358-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_19997352	A/Cambodia/ CCH250082/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20050391	A/Queensland/IN001365/2025	Queensland Medical Laboratories	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_20050383	A/Cambodia/ INPH250184/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20050588	A/Cambodia/ ISVH250022/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_20050486	A/Queensland/IN001392/2025	Pathology Queensland	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_19907474	A/Madagascar/01951/2025	Institut Pasteur de Madagascar	Institut Pasteur de Madagascar
h1n1pdm	EPI_ISL_19907470	A/Madagascar/01482/2025	Institut Pasteur de Madagascar	Institut Pasteur de Madagascar
h1n1pdm	EPI_ISL_19907014	A/TOKYO/EIS11-851/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_19907013	A/TOKYO/EIS11-847/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_19907008	A/TOKYO/EIS11-826/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_19907007	A/TOKYO/EIS11-814/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
h1n1pdm	EPI_ISL_19910105	A/Kenya/NYR11802/Human/2025	National Influenza Center - Kenya	National Public Health Laboratory
h1n1pdm	EPI_ISL_19908980	A/France/ARA-RELAB-HCL025093302901/2025	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
h1n1pdm	EPI_ISL_19908809	A/Amazonas/018293-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_19908549	A/PARANA/CEVI_24002220/2024	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_19912403	A/Maine/23/2025	Maine Health and Environmental Testing Laboratory	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19900393	A/Nizhny Novgorod/RII-MH239699S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19900353	A/Surgut/RII-MH237082S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19900296	A/Sernur/RII-MH234921S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19900255	A/Kola/RII-MH234534S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19901360	A/Ohio/233/2025	University Hospitals Cleveland Medical Center	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19900457	A/Saint-Petersburg/RII-24-3043S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19900434	A/Bor/RII-MH240316S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19900150	A/Saint-Petersburg/RII-95/2025	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19900092	A/Yekaterinburg/34/2025	"FBUZ ""Center of hygiene and epidemiology"" in Sverdlovsk oblast"	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19902126	A/Denmark/2934/2025	Statens Serum Institut	Statens Serum Institute
h1n1pdm	EPI_ISL_19894169	A/Malaysia/MKAI_CL29892/2025	Pejabat Kesihatan Daerah Bandar Baharu	Public Health Laboratory Ipoh
h1n1pdm	EPI_ISL_19894352	A/Ukraine/4394/2025	Public Health Center, Ministry of Health Ukraine	Public Health Center, Ministry of Health Ukraine
h1n1pdm	EPI_ISL_19896248	A/Indonesia/BIOKES-S-RHS749/2025	Balai Besar Laboratorium Biologi Kesehatan	Balai Besar Laboratorium Biologi Kesehatan
h1n1pdm	EPI_ISL_19897547	A/Zambia/10-NIC-103/2025	University Teaching Hospital, MoH Zambia	National Influenza Center, Zambia
h1n1pdm	EPI_ISL_19898113	A/Changsha/175/2025	Changsha Disease Prevention and Control Center	Changsha Disease Prevention and Control Center
h1n1pdm	EPI_ISL_19893261	A/Virginia/GKISBBBF45763/2025	Concentric by Ginkgo Bioworks	
h1n1pdm	EPI_ISL_19885839	A/Ghana/FS-25-2174/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19889616	A/Norway/06612/2025	Norwegian Institute of Public Health	Norwegian Institute of Public Health
h1n1pdm	EPI_ISL_19889597	A/Norway/06469/2025	Norwegian Institute of Public Health	Norwegian Institute of Public Health
h1n1pdm	EPI_ISL_19882560	A/Rio Grande do Sul/1151/2025	LACEN/RS - Laboratório Central de Saúde Pública do Rio Grande do Sul	Oswaldo Cruz Foundation
h1n1pdm	EPI_ISL_19882476	A/British Columbia/RV04083-25/2025	B.C. Centre for Disease Control	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_19878805	A/Austria/1801480/2025	Department of Virology, Medical University Vienna	Medical University Vienna
h1n1pdm	EPI_ISL_19880507	A/Bahrain/1740/2024	Ministry of Health Bahrain	National Influenza Center, Bahrain
h1n1pdm	EPI_ISL_19879563	A/Victoria/389/2025	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19881563	A/Murmansk/RII-MH234725S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19874803	A/Vietnam/PF125102/2025	Bach Mai Hospital	Bach Mai Hospital
h1n1pdm	EPI_ISL_19876493	A/Antofagasta/20024/2025	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
h1n1pdm	EPI_ISL_19876360	A/South Africa/PATH-CERI-C066585/2025	National Health Laboratory Service, Stellenbosch University	Center for Epidemic Response and Innovation (CERI)
h1n1pdm	EPI_ISL_19875439	A/Cambodia/ IAHC250126/2025	National Institute of Public Health	National Institute of Public Health
h1n1pdm	EPI_ISL_19875007	A/Denmark/2595/2025	Statens Serum Institut	Statens Serum Institute
h1n1pdm	EPI_ISL_19885232	A/California/LACPHL-INF01974/2025	Los Angeles County Public Health Laboratories, Lab Microbial Pathogen Submission Group	
h1n1pdm	EPI_ISL_19864509	A/Delaware/66/2025	Delaware Public Health Lab	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19864501	A/Idaho/41/2025	State of Idaho Bureau of Laboratories	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19866506	A/Ireland/00000840/2025	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory
h1n1pdm	EPI_ISL_19868049	A/Nevada/96/2025	Nevada State Health Laboratory	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19867705	A/KENYA/NAK-13247/Human/2025	National Influenza Center - Kenya	National Public Health Laboratory
h1n1pdm	EPI_ISL_19871347	A/Peru/CAJ-INS-501/2025	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Instituto Nacional de Salud Peru
h1n1pdm	EPI_ISL_19871235	A/Peru/UCA-INS-454/2025	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Instituto Nacional de Salud Peru
h1n1pdm	EPI_ISL_19860386	A/Finland/664/2025	Nordlab Oulu	Finnish Institute for Health and Welfare, THL
